...1,ID,Age,Gender,Condition,Word,ReactionTime
0,s6,52,Male,1,Once,3.6025085000001127
1,s6,52,Male,1,upon,1.2774281000019982
2,s6,52,Male,1,a,0.7248709999985294
3,s6,52,Male,1,time,0.7631533999956446
4,s6,52,Male,1,there,0.8977606999978889
5,s6,52,Male,1,was,0.71173130000534
6,s6,52,Male,1,a,0.8426372999965679
7,s6,52,Male,1,boy,0.8776522999978624
8,s6,52,Male,1,named,0.7852196999883745
9,s6,52,Male,1,Thomas.,1.5562427999975623
10,s6,52,Male,1,One,0.9929002999997464
11,s6,52,Male,1,day,0.7809961999882944
12,s6,52,Male,1,walking,0.787407700001495
13,s6,52,Male,1,home,0.7205707999964943
14,s6,52,Male,1,from,0.7432977999997092
15,s6,52,Male,1,school,0.6318320999998832
16,s6,52,Male,1,he,0.7304431000084151
17,s6,52,Male,1,stopped,0.905747099997825
18,s6,52,Male,1,at,0.6679281999968225
19,s6,52,Male,1,a,0.7094990000041435
20,s6,52,Male,1,red,0.8724675999983447
21,s6,52,Male,1,light,1.6117170999932569
22,s6,52,Male,1,and,0.6222802999982378
23,s6,52,Male,1,took,0.6729819999891333
24,s6,52,Male,1,a,0.7096457000006922
25,s6,52,Male,1,deep,0.7183334000001196
26,s6,52,Male,1,breath.,0.7571987999981502
27,s6,52,Male,1,A,0.6651911000080872
28,s6,52,Male,1,tall,1.351813699991908
29,s6,52,Male,1,dark,0.6267519999964861
30,s6,52,Male,1,man,0.7181805000000168
31,s6,52,Male,1,noticed,0.7343872000055853
32,s6,52,Male,1,Thomas',0.8382702000089921
33,s6,52,Male,1,explicit,0.8687358000024687
34,s6,52,Male,1,face,1.9279663999914192
35,s6,52,Male,1,expression,0.856506600001012
36,s6,52,Male,1,and,0.7238322000048356
37,s6,52,Male,1,asked:,0.9522837999975308
38,s6,52,Male,1,"""Are",0.6712883000000147
39,s6,52,Male,1,you,0.6131881000037538
40,s6,52,Male,1,okay,0.7274928999977419
41,s6,52,Male,1,"son?""",0.8832502000004752
42,s6,52,Male,1,Thomas,1.5210958999959985
43,s6,52,Male,1,reacted,0.7515260000072885
44,s6,52,Male,1,with,0.6447181999974418
45,s6,52,Male,1,a,1.2175502999889432
46,s6,52,Male,1,little,0.8301228000054834
47,s6,52,Male,1,squeak,0.8773824999952922
48,s6,52,Male,1,and,0.6055062999948859
49,s6,52,Male,1,a,0.6926778000051854
50,s6,52,Male,1,frightened,0.6485154000110924
51,s6,52,Male,1,jump.,0.5690638000087347
52,s6,52,Male,1,He,0.5488756999984616
53,s6,52,Male,1,then,0.48450449999654666
54,s6,52,Male,1,stuttered:,1.198327199992491
55,s6,52,Male,1,"""My",0.7081937999901129
56,s6,52,Male,1,mom,0.7499183000036282
57,s6,52,Male,1,always,0.6436792000022251
58,s6,52,Male,1,told,0.6681645999924513
59,s6,52,Male,1,me,0.6385337000101572
60,s6,52,Male,1,not,0.6644245999923442
61,s6,52,Male,1,to,0.6205368999944767
62,s6,52,Male,1,talk,0.6819831000029808
63,s6,52,Male,1,to,0.6136421999981394
64,s6,52,Male,1,"strangers"".",0.7345305000053486
65,s6,52,Male,1,The,0.5914964999974472
66,s6,52,Male,1,tall,0.5779168000008212
67,s6,52,Male,1,dark,0.4972644999943441
68,s6,52,Male,1,man,0.6318829999945592
69,s6,52,Male,1,replied:,0.6958830999938073
70,s6,52,Male,1,"""But",0.5360097999946447
71,s6,52,Male,1,I,0.5296802000084426
72,s6,52,Male,1,am,0.4787940999958664
73,s6,52,Male,1,no,0.4929611000115983
74,s6,52,Male,1,"stranger,",0.5071560999931535
75,s6,52,Male,1,you,0.49480790000234265
76,s6,52,Male,1,already,0.4999286000092979
77,s6,52,Male,1,know,0.6271714000031352
78,s6,52,Male,1,me,0.4514995999925304
79,s6,52,Male,1,very,0.5154579999943962
80,s6,52,Male,1,"well"".",0.4632580000034068
81,s6,52,Male,1,With,0.5190473000111524
82,s6,52,Male,1,a,0.5269654000003356
83,s6,52,Male,1,new,0.49800299998605624
84,s6,52,Male,1,look,0.4818870000017341
85,s6,52,Male,1,Thomas,0.5221029999956954
86,s6,52,Male,1,inspected,0.5749412000004668
87,s6,52,Male,1,the,0.5273263999988558
88,s6,52,Male,1,mysterious,0.6029626999952598
89,s6,52,Male,1,figure,0.510550000006333
90,s6,52,Male,1,and,0.5727067999978317
91,s6,52,Male,1,out,0.558037199996761
92,s6,52,Male,1,of,0.5734590999927605
93,s6,52,Male,1,thin,0.4702515999961179
94,s6,52,Male,1,air,0.5672074000030989
95,s6,52,Male,1,things,0.5371231000026455
96,s6,52,Male,1,suddenly,0.49356050000642426
97,s6,52,Male,1,made,0.4956884999992326
98,s6,52,Male,1,sense.,0.5296191999950679
99,s6,52,Male,1,Can,0.5303896000114037
100,s6,52,Male,1,it,0.5157036000018707
101,s6,52,Male,1,be?,0.5047010999987833
102,s6,52,Male,1,Is,0.5438244000106351
103,s6,52,Male,1,it,0.5176924999977928
104,s6,52,Male,1,really,0.8850363999954425
105,s6,52,Male,1,my,0.46747079999477137
106,s6,52,Male,1,Lego?,3.2415933000011137
107,s6,52,Male,1,Thomas,0.8407179999921937
108,s6,52,Male,1,gathered,1.0541089000034845
109,s6,52,Male,1,all,0.8885727000015322
110,s6,52,Male,1,his,0.7568049999972573
111,s6,52,Male,1,courage,0.7253588000021409
112,s6,52,Male,1,and,0.7426316000055522
113,s6,52,Male,1,hugged,0.7334130999952322
114,s6,52,Male,1,the,0.6255588000058196
115,s6,52,Male,1,suddenly,0.693133199994918
116,s6,52,Male,1,so,0.5512209000007715
117,s6,52,Male,1,familiar,0.5332572999905096
118,s6,52,Male,1,face,0.5020714999991469
119,s6,52,Male,1,next,0.5414097000029869
120,s6,52,Male,1,to,0.5192557999980636
121,s6,52,Male,1,him.,0.5048832000029506
